sip_user_agent,count
psxrWdBMKtiQgoWs,2
pthelOPY,1
pujBjivw,1
pyJkwQdv,1
qBNeTqmQ,1
qEGytrGL,1
qFNCLxEU,1
qKRCSXmX,1
qMDlLrXg,1
qQtYfTXV,1
qQzWcDzS,1
qSMmyETr,1
qShwLbrj,1
qVmyOqSN,1
qXHiKBJa,1
qYBqvTtZ,1
qYRaWojh,1
qbGXcBHB,1
qcTGmnDe,1
qcscAfTT,1
qhGqfgGl,1
qhYKpoJY,1
qjYfrBIR,1
qkzxSvLc,1
qlPKGuYL,1
qoOPkKAS,1
qpBoOPXt,1
qpYqZaGc,1
qquwqFZu,1
qrsdrfdR,1
qudpYAkW,1
quxiegHj,1
qvkblqMl,1
rAiRROJL,1
rBZxrLIh,2
rCMrmgRx,1
rCSGMLsq,1
rIpqhyiO,1
rOPsmibq,1
rRHpfCIF,1
rSAQGJhI,1
rSIjvBKV,1
rSwWUHAv,1
rUGKzNSl,1
rVGcCMQI,1
rXiujqvh,1
raByCzxp,1
reapsEXd,1
reklKxAK,1
rfzLOhIq,1
riomnctd,1
rkettQGd,1
rmOGxsgC,1
rnAPMlzC,1
roQNXicA,1
rqnZZqub,1
rrGORFEL,1
rskFwCJz,1
ruHJVYQq,1
ruwViCwT,1
rvbGZUGR,1
rvnDaDYj,1
rwlOyvmW,1
rzYowAXU,1
sDPmGWUH,1
sFYrbHhT,1
sGWxRQlm,1
sGdbVBOz,1
sLUPyEiw,1
sMfpjAgg,1
sMiLIhQf,1
sNMODcIN,1
sTNNIrks,1
sUvyqGFd,1
sZXYIyrt,1
saetZQfu,1
sdCXhkkz,1
sendsms-voipms 0.1,12
sfWJhHqw,1
sip,1
sjaoygSY,1
skpQmSOx,1
snomD375,3
softphone,16
spa112,8
spsLbwAk,1
sptItKRa,1
sqkjyOFW,1
stkacGgF,1
tBDWLLdF,1
tFeVgygn,1
tKIVPjzZ,1
tMrXvEbl,1
tOUdEwsh,1
tSQShHlQ,1
tUJZUBGp,1
tVBGlDFT,1
tYXjctcG,1
taFfOJqn,1
tbRlQAEt,1
teOgBcPx,1
tgOKVTCQ,1
tgpmWyyb,1
tjTCyJNx,1
tkwjOwzT,1
tmQfshkl,1
tn3K_7Cj,1
tqeZQMZp,1
tuSAtLLW,1
tuTjEADy,1
twJubdAu,1
txcHnnin,1
txogulQY,1
uAGVJtpz,1
uBvfnWvR,1
uCxAvGac,1
uDHRifzJ,1
uDfxjikv,1
uEHsBAvU,1
uFyjtqDT,1
uGfGtqet,1
uGyfmTBF,1
uOTuCrzD,1
uQnzUYjh,1
uTpNpBPI,1
uUkNMCrA,1
uWimOofM,1
uXyBrwmV,1
uXzFBeZZ,1
uZaTGHBW,1
uaYjknyt,1
udEiZSJQ,1
ufJOhTYI,1
ujEXOwhm,1
ukgjnGVR,1
ulUphrHO,1
umCpPxdm,1
unknown,6961
unmTiYwS,1
unuyJRCn,1
utPrbTAD,1
uuNbiimI,1
uvXgSNDk,1
uwczFWaS,1
uzGffYoX,1
vAGvChfp,1
vAyGktCI,1
vEgwuNjv,1
vHmHYLHi,1
vKGaVOtk,1
vMwMoTkk,1
vPHdtKFo,1
vPduJrwm,1
vSvVOada,1
vTnAaZpz,1
vUpUImbp,1
vUphulov,1
vWQkEpls,1
vXTGwxQU,1
vXlcAfln,1
vYMDHaHQ,1
vYUdGWOW,1
vdixCOwG,1
vgbeRqdV,1
vhQspLKL,1
vnWkZlNo,1
voip,948
vvHfdmDc,1
vvsmVBnr,1
vwDuhQDw,1
vxujhgmh,1
wAzdylGF,1
wBBeZphx,1
wEubgDQo,1
wHeMvuDQ,1
wJwOLGWc,1
wKgMvwJH,1
wQtxUIkK,1
wSALRIyT,1
wUHcGedn,1
wWeCiwJz,1
wWohAfYv,1
wZMSrXhy,1
wauWDjuK,1
weRKsdRcgtriJyaAwZu,2
wgXpffMh,1
wlVqDAfk,1
wnpWyRnY,1
wrbcqrWc,1
wuqTpJLb,1
wyElbKoy,1
wybZVPWs,1
wzMbGdew,1
xAezRLnl,1
xCAAwogn,1
xETuTtDA,1
xJxPMeXc,1
xKodroKU,1
xKvdaMlt,1
xNBAazdy,1
xPFaqmha,1
xPFzqIQb,1
xPUnoJCH,1
xVXDFxfq,1
xXPwbxHo,2
xZlXSFuW,1
xaIXlrfV,1
xaLXTLjh,1
xdqQPbTF,1
xfa1,6
xfaTfgmA,1
xfcQBgve,1
xkeKSpdn,1
xmAIBGYW,1
xokfCkCk,1
xtMbhBxq,1
xxUwaRcD,1
xzFAdIQC,1
xzOpXTMO,1
yAANfzNW,1
yBldgMFl,1
yBuvJdKl,1
yDGLoloo,1
yDILYfTR,2
yDRYTFOc,1
yJexrwPj,1
yLcWhXfX,1
yRMWeJcC,1
yUPTMWIZ,1
yWAlYqqp,1
yYRzzHWu,1
yavlsJqh,1
yczMzZPd,1
yhuvqSuL,1
yltwKlXF,1
yvfrtFqj,1
yweBscDi,1
zBzkdPlw,1
zJmGVygw,1
zKYWvGLk,1
zOCgBiKp,1
zQQSYeSp,1
zSZyqzBW,1
zeLabvwE,1
znwZRhyx,1
zsLVlHrk,1
ztwxQqdK,1
zxYYtDwr,1
zxzcqOuS,2
zymTEVqM,1
zytNnXTB,1
